State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
9, UTTAR PRADESH,2019,2,100282,2761796,56826,65826,1162708,44008,159558,2059332,60720
10, BIHAR,2019,2,6057,302448,6352,6151,60367,2521,52045,638764,13071
11, SIKKIM,2019,2,114,2816,52,160,5735,1730,1421,23735,658
12, ARUNACHAL PRADESH,2019,2,92,2506,34,168,1757,70,2215,19176,402
13, NAGALAND,2019,2,68,797,40,248,4229,93,2247,20798,455
14, MANIPUR,2019,2,38,2819,45,79,354,13,2222,22226,519
15, MIZORAM,2019,2,18,754,10,84,986,209,1434,18756,359
16, TRIPURA,2019,2,673,15809,279,292,1564,146,3685,31737,735
17, MEGHALAYA,2019,2,254,11079,197,327,28551,523,2922,31323,735
18, ASSAM,2019,2,9899,356838,6583,8025,134648,4907,22505,261368,8280
19, WEST BENGAL,2019,2,35734,1140974,33787,36376,631436,25791,54850,882377,31724
20, JHARKHAND,2019,2,8368,365618,8577,7055,223734,11786,22883,343820,10577
21, ODISHA,2019,2,11604,635188,12963,5087,198326,18018,27539,360998,13957
22, CHHATTISGARH,2019,2,4924,177966,5266,7176,168164,10779,21599,367374,10709
23, MADHYA PRADESH,2019,2,14533,283016,7115,17698,356810,17185,62370,776640,23475
24, GUJARAT,2019,2,104178,2793565,71787,116452,3689081,83169,113446,1335200,60397
25, DAMAN AND DIU,2019,2,1060,33875,1043,1646,186004,4519,2279,73177,4132
26, DADRA AND NAGAR HAVELI,2019,2,1231,50124,1815,1963,250204,9093,2991,109418,7114
27, MAHARASHTRA,2019,2,114429,4376127,117187,98818,2957676,100253,176204,2195514,97921
29, KARNATAKA,2019,2,79225,2756032,51401,41920,1256756,43131,91403,1363103,47689
30, GOA,2019,2,1399,62823,1009,1479,52986,4545,6680,94704,3146
31, LAKSHADWEEP,2019,2,0,0,0,2,2,0,39,314,17
32, KERALA,2019,2,30854,946987,14594,12651,158004,6045,47835,614005,14568
33, TAMIL NADU,2019,2,67140,3066153,63249,62275,1604434,57927,96387,1382746,56640
34, PUDUCHERRY,2019,2,845,26906,886,1879,96672,2858,5141,84221,2330
35, ANDAMAN AND NICOBAR,2019,2,13,174,6,47,159,14,860,7569,176
36, TELANGANA,2019,2,26952,1068730,22631,25829,503925,22097,51965,755525,26568
37, ANDHRA PRADESH,2019,2,30919,1058743,20012,18942,360643,23408,61671,716003,26451
97, Other Territory,2019,2,2,53,32,23,2185,940,424,7868,1249
1, JAMMU AND KASHMIR,2019,3,4611,161657,3063,2346,32179,2031,17657,197008,5350
2, HIMACHAL PRADESH,2019,3,7303,226911,4403,4812,261206,10575,20029,277200,8717
3, PUNJAB,2019,3,53987,1268864,32964,43803,774018,23745,62805,788984,24904
4, CHANDIGARH,2019,3,2374,28634,501,5051,80004,1623,8172,112780,2465
5, UTTARAKHAND,2019,3,10970,571440,10582,7437,341107,18395,22515,445606,13746
6, HARYANA,2019,3,61503,2318235,45408,53329,2075970,62307,87624,1535582,57067
7, DELHI,2019,3,59519,872484,36621,121058,1640093,42800,112125,1456652,48151
8, RAJASTHAN,2019,3,65623,1451968,33559,45926,1287982,30371,85790,1029220,34685
9, UTTAR PRADESH,2019,3,105390,3046170,65075,68980,1248568,51421,164806,2245007,78945
10, BIHAR,2019,3,6394,353143,8436,6371,64840,2597,52229,671433,14713
11, SIKKIM,2019,3,114,3216,57,172,6809,1950,1445,27188,829
12, ARUNACHAL PRADESH,2019,3,116,3404,48,194,1390,67,2535,26915,563
13, NAGALAND,2019,3,67,963,39,259,4313,103,2262,21640,498
14, MANIPUR,2019,3,39,3096,53,95,424,15,2298,25712,629
15, MIZORAM,2019,3,17,943,13,101,961,189,1534,22593,413
16, TRIPURA,2019,3,745,18527,321,328,1760,158,3811,34312,853
17, MEGHALAYA,2019,3,299,12129,228,362,34719,646,3040,33952,873
18, ASSAM,2019,3,10480,408883,7557,8562,155449,5316,24426,290074,9598
19, WEST BENGAL,2019,3,37643,1291966,39810,37845,705044,29632,55941,933068,36869
20, JHARKHAND,2019,3,8870,410557,9701,7477,242895,14059,23438,364709,12014
21, ODISHA,2019,3,12144,731868,14831,5360,210496,20028,27781,370694,15178
22, CHHATTISGARH,2019,3,5186,196747,5540,7316,175777,12685,21823,374187,11582
23, MADHYA PRADESH,2019,3,15208,319594,8151,18253,394359,19403,63993,846036,26115
24, GUJARAT,2019,3,108436,2903817,78517,118556,3858497,93192,114465,1381818,66747
25, DAMAN AND DIU,2019,3,1112,35018,1145,1682,192933,5067,2379,77861,4384
26, DADRA AND NAGAR HAVELI,2019,3,1292,53979,1900,1978,256858,10171,2991,117330,7446
27, MAHARASHTRA,2019,3,120775,4851732,131474,101687,3269493,122821,181114,2401460,105944
29, KARNATAKA,2019,3,84618,3109880,59757,43992,1391745,49870,95860,1528940,53976
30, GOA,2019,3,1471,65678,1082,1550,56536,4483,6773,105734,3677
31, LAKSHADWEEP,2019,3,0,0,0,2,3,0,39,473,14
32, KERALA,2019,3,32146,1101442,16690,13443,176840,7249,49603,723494,17007
33, TAMIL NADU,2019,3,73270,3462478,73077,65130,1776961,66221,100205,1539912,65100
34, PUDUCHERRY,2019,3,954,33307,1020,1996,108517,3431,5527,99069,2665
35, ANDAMAN AND NICOBAR,2019,3,15,242,7,70,243,26,892,8802,289
36, TELANGANA,2019,3,28229,1173486,25711,26453,557039,25918,53097,808072,30305
37, ANDHRA PRADESH,2019,3,33093,1144665,22258,20031,400814,27371,63459,760501,29660
97, Other Territory,2019,3,3,76,42,23,2275,1056,383,8149,1322
1,JAMMU AND KASHMIR,2020,3,3478,89324,1711,1722,21281,1317,15026,132058,3739
2,HIMACHAL PRADESH,2020,3,6878,163766,3173,4486,168840,7351,17006,194898,5963
3,PUNJAB,2020,3,55010,1021129,22607,39245,547052,16294,55363,564166,16675
4,CHANDIGARH,2020,3,1995,17730,291,4428,55331,1037,7168,77603,1678
5,UTTARAKHAND,2020,3,10103,305001,6044,6865,214143,10810,19634,278050,8427
6,HARYANA,2020,3,57525,1681254,29423,49742,1709702,41547,78644,1195500,39498
7,DELHI,2020,3,50610,570530,21561,105160,1054087,26184,95496,998896,29391
8,RAJASTHAN,2020,3,59201,996017,20610,40865,882855,20469,74731,734489,22017
9,UTTAR PRADESH,2020,3,96276,2093449,42625,62275,896323,35641,143095,1519003,58592
10,BIHAR,2020,3,6173,271213,5612,5463,48581,1711,45033,443787,10148
11,SIKKIM,2020,3,109,3027,42,167,4923,1923,1395,21175,625
12,ARUNACHAL PRADESH,2020,3,123,2570,48,158,984,52,2338,20687,401
13,NAGALAND,2020,3,82,838,82,207,2263,62,2003,16159,375
14,MANIPUR,2020,3,56,3773,55,76,276,13,2075,25218,473
15,MIZORAM,2020,3,39,594,14,85,560,98,1533,18675,303
16,TRIPURA,2020,3,938,19458,329,321,1381,125,3442,25225,627
17,MEGHALAYA,2020,3,307,9821,171,348,24320,433,2733,25928,578
18,ASSAM,2020,3,10084,301931,5515,8154,125549,3956,21531,213139,6726
19,WEST BENGAL,2020,3,34848,944064,25594,32397,508516,20317,50096,735447,25688
20,JHARKHAND,2020,3,7643,256926,6030,6351,145542,8072,20381,238348,7742
21,ODISHA,2020,3,11759,550390,10963,4689,170841,14636,24934,250079,10284
22,CHHATTISGARH,2020,3,4449,122403,3412,6554,115167,8820,18919,267190,9549
23,MADHYA PRADESH,2020,3,13848,271510,5856,16201,266288,12763,56124,582123,16381
24,GUJARAT,2020,3,109942,2306678,60650,112067,2804237,66544,101907,1001887,45886
25,DAMAN AND DIU,2020,3,1023,26395,666,1631,134730,3082,2038,54504,2321
26,DADRA AND NAGAR HAVELI,2020,3,1251,44280,1533,1920,173354,6374,2675,82429,5009
27,MAHARASHTRA,2020,3,109426,3608256,87262,90372,2371642,87823,156175,1728375,68576
29,KARNATAKA,2020,3,81608,2493746,43078,38840,1011172,35034,88074,1197855,37519
30,GOA,2020,3,1461,48375,713,1347,37300,2706,5664,69761,2596
31,LAKSHADWEEP,2020,3,1,1,0,2,2,0,38,351,8
32,KERALA,2020,3,31921,851207,12072,11965,122357,5482,41495,468387,10889
33,TAMIL NADU,2020,3,70563,2591829,51596,57675,1269671,45218,87180,1122964,43668
34,PUDUCHERRY,2020,3,873,25949,751,1577,70066,2151,4544,67656,1937
35,ANDAMAN AND NICOBAR,2020,3,8,273,10,66,163,26,739,5868,227
36,TELANGANA,2020,3,33646,1214445,21707,26360,441128,19374,49251,661493,21990
37,ANDHRA PRADESH,2020,3,31240,969860,17769,18396,310103,21701,55426,559814,20638
38,LADAKH,2020,3,5,25,1,3,3,0,62,290,8
97,Other Territory,2020,3,6,134,741,27,1780,689,566,7181,1636
1,JAMMU AND KASHMIR,2020,2,3221,114586,2026,1930,29414,1857,16539,180911,4799
2,HIMACHAL PRADESH,2020,2,7301,221694,4350,4811,243884,9785,19353,270693,8147
3,PUNJAB,2020,2,60043,1440937,31090,44270,776852,22168,63972,823934,23197
4,CHANDIGARH,2020,2,2136,24164,387,4827,74526,1374,7948,109773,2162
5,UTTARAKHAND,2020,2,11002,508251,8728,7699,317158,15227,22567,415185,11740
6,HARYANA,2020,2,63016,2424272,41118,54964,2449359,58744,89844,1718576,54841
7,DELHI,2020,2,57702,800062,31171,118730,1562952,37060,112229,1550725,42677
8,RAJASTHAN,2020,2,66708,1464444,28906,47175,1391038,29521,89778,1106660,31051
9,UTTAR PRADESH,2020,2,108997,3103194,61078,72495,1327973,50722,171040,2231268,75260
10,BIHAR,2020,2,7044,382689,7122,6761,71828,2672,55198,712591,14554
11,SIKKIM,2020,2,116,3393,39,172,9024,2223,1555,28335,761
12,ARUNACHAL PRADESH,2020,2,138,3240,81,188,1595,68,2503,28328,490
13,NAGALAND,2020,2,86,1223,82,253,3172,76,2286,24471,545
14,MANIPUR,2020,2,55,5185,69,101,427,19,2425,38024,618
15,MIZORAM,2020,2,62,1101,39,100,764,157,1670,26770,424
16,TRIPURA,2020,2,984,24815,423,370,2012,186,3760,34592,748
17,MEGHALAYA,2020,2,326,13586,217,403,32003,586,3143,39347,720
18,ASSAM,2020,2,10611,395797,7116,9063,178735,5457,23517,293290,8775
19,WEST BENGAL,2020,2,38824,1317681,36000,37260,718100,27030,57911,1089065,33510
20,JHARKHAND,2020,2,8697,373200,8077,7391,195561,10454,24020,363706,10272
21,ODISHA,2020,2,12475,686668,13381,5413,234430,18518,29297,383487,13968
22,CHHATTISGARH,2020,2,5160,176001,4844,7700,169796,11289,22059,403516,11295
23,MADHYA PRADESH,2020,2,15772,393983,7938,18706,395593,17625,65292,852001,22668
24,GUJARAT,2020,2,120327,3270194,83063,122387,4164812,90013,121393,1497662,65024
25,DAMAN AND DIU,2020,2,1075,35403,914,1667,192311,4367,2210,77365,3654
26,DADRA AND NAGAR HAVELI,2020,2,1365,59243,2075,2000,258788,8849,2881,115122,6774
27,MAHARASHTRA,2020,2,122218,5090400,117284,102947,3408052,115567,182533,2495917,98227
29,KARNATAKA,2020,2,87260,3241152,54604,43457,1438430,45494,99914,1622308,49216
30,GOA,2020,2,1528,68457,983,1570,53992,3663,6719,107314,3473
31,LAKSHADWEEP,2020,2,1,1,0,2,5,0,47,438,7
32,KERALA,2020,2,34489,1130148,15974,13520,165732,7043,48604,653389,14603
33,TAMIL NADU,2020,2,76106,3382222,66693,65071,1811021,60308,100014,1548019,58860
34,PUDUCHERRY,2020,2,933,32500,835,1817,101543,2722,5092,96229,2282
35,ANDAMAN AND NICOBAR,2020,2,14,248,8,57,218,26,878,8665,233
36,TELANGANA,2020,2,36472,1530353,28572,29581,606374,23612,56365,916477,28655
37,ANDHRA PRADESH,2020,2,33336,1249296,21586,20814,415843,27278,63691,791040,26336
38,LADAKH,2020,2,5,28,1,3,13,0,79,278,6
97,Other Territory,2020,2,8,108,132,26,1979,870,494,10104,2432
1,JAMMU AND KASHMIR,2020,1,2373,86513,1576,1847,29122,1881,14748,145545,4394
2,HIMACHAL PRADESH,2020,1,6938,212949,4350,4690,248977,10145,18253,261482,8014
3,PUNJAB,2020,1,58563,1397984,31005,44375,747372,21495,61995,770837,24069
4,CHANDIGARH,2020,1,2125,24365,376,4710,69755,1301,7787,105785,2098
5,UTTARAKHAND,2020,1,10763,517830,8756,7617,329437,15661,21588,420160,12221
6,HARYANA,2020,1,62282,2514527,42664,54313,2521784,58154,87925,1722492,55995
7,DELHI,2020,1,56930,803058,30110,116615,1548215,38525,110749,1520564,43223
8,RAJASTHAN,2020,1,66062,1424757,30062,46384,1328222,29140,87832,1106757,31561
9,UTTAR PRADESH,2020,1,106284,3010200,59906,71009,1315442,51518,163981,2239366,80517
10,BIHAR,2020,1,6639,353379,6900,6494,64900,2473,52459,760213,13947
11,SIKKIM,2020,1,118,3557,42,171,9798,2196,1506,28181,814
12,ARUNACHAL PRADESH,2020,1,119,2812,51,185,1527,75,2394,26727,506
13,NAGALAND,2020,1,87,1003,41,228,2468,64,2217,22971,473
14,MANIPUR,2020,1,50,4989,76,94,438,14,2347,32778,552
15,MIZORAM,2020,1,57,1140,41,99,631,136,1560,24194,400
16,TRIPURA,2020,1,960,21672,386,340,2062,200,3724,32260,709
17,MEGHALAYA,2020,1,319,12687,212,378,34591,597,3163,36404,696
18,ASSAM,2020,1,10041,359243,6435,8847,165983,5080,22491,265026,8365
19,WEST BENGAL,2020,1,37443,1278449,35590,35965,666258,26886,56398,1049318,34037
20,JHARKHAND,2020,1,8215,377512,8626,7059,192921,11173,23110,376296,10463
21,ODISHA,2020,1,12206,701262,13695,5191,242686,18237,29061,382179,13217
22,CHHATTISGARH,2020,1,5133,187051,5038,7805,174738,11652,21811,390282,13184
23,MADHYA PRADESH,2020,1,15852,395801,8335,18491,385432,17739,64863,852546,23567
24,GUJARAT,2020,1,119070,3366521,86693,121169,4116895,90019,121749,1512702,72174
25,DAMAN AND DIU,2020,1,1093,37654,1078,1657,195315,4533,2189,80080,3953
26,DADRA AND NAGAR HAVELI,2020,1,1356,60951,2041,1986,274471,9141,2896,119314,7163
27,MAHARASHTRA,2020,1,121431,5240843,121687,102297,3406424,116798,183441,2520935,101317
29,KARNATAKA,2020,1,86272,3272094,55396,43491,1435925,45394,98582,1625997,50007
30,GOA,2020,1,1531,75498,1076,1528,55646,3718,6794,106703,3406
31,LAKSHADWEEP,2020,1,0,0,0,1,2,1,44,478,7
32,KERALA,2020,1,34377,1211935,17548,13488,168606,7284,48402,674591,15138
33,TAMIL NADU,2020,1,73540,3200776,64165,63526,1685248,59388,98507,1458501,61323
34,PUDUCHERRY,2020,1,895,30057,762,1720,93959,2691,5113,92856,2378
35,ANDAMAN AND NICOBAR,2020,1,12,286,11,62,270,31,860,8876,279
36,TELANGANA,2020,1,35074,1464396,28762,29020,608113,24617,55362,934164,28742
37,ANDHRA PRADESH,2020,1,32210,1267827,22100,20384,404336,26311,62436,734007,28144
38,LADAKH,2020,1,3,20,0,2,14,0,45,107,3
97,Other Territory,2020,1,8,127,150,26,1741,759,516,8679,1689
1,JAMMU AND KASHMIR,2019,12,1958,76706,1396,1681,29603,1925,15898,158332,4185
2,HIMACHAL PRADESH,2019,12,6975,226634,4359,4738,250913,9997,18905,268288,7904
3,PUNJAB,2019,12,58386,1416637,30011,46440,819687,21775,62077,761293,24574
4,CHANDIGARH,2019,12,2068,24814,397,4666,70251,1318,7799,108880,2220
5,UTTARAKHAND,2019,12,10615,474816,8085,7635,327283,15006,21460,406082,11522
6,HARYANA,2019,12,61536,2405557,41463,53872,2360711,57614,86449,1632506,51973
7,DELHI,2019,12,55284,780054,29225,114843,1496975,36411,108348,1382592,41684
8,RAJASTHAN,2019,12,66017,1504669,31029,46201,1280667,29036,87339,1079966,31318
9,UTTAR PRADESH,2019,12,102139,2834439,55952,69325,1250230,48353,158828,2048809,61022
10,BIHAR,2019,12,6354,362404,6943,6340,63721,2510,48676,562529,13189
11,SIKKIM,2019,12,112,3751,44,172,9038,2248,1436,27409,770
12,ARUNACHAL PRADESH,2019,12,111,2552,40,168,1185,61,2260,23657,405
13,NAGALAND,2019,12,80,803,30,241,2381,79,2066,19691,446
14,MANIPUR,2019,12,46,4444,67,65,236,10,2164,31745,530
15,MIZORAM,2019,12,51,1187,68,88,884,163,1474,24124,366
16,TRIPURA,2019,12,918,21622,378,332,2119,249,3505,29586,706
17,MEGHALAYA,2019,12,274,11970,165,331,27814,492,2809,32024,638
18,ASSAM,2019,12,9263,302285,5569,8028,153977,4860,20538,227097,7836
19,WEST BENGAL,2019,12,36250,1276706,35113,35324,624974,25510,55740,963202,33251
20,JHARKHAND,2019,12,7997,367058,8057,6873,197541,10273,22287,329829,9884
21,ODISHA,2019,12,11913,691294,12478,5235,223875,17858,28261,371908,13868
22,CHHATTISGARH,2019,12,4897,185652,4783,7495,170428,11156,21429,367192,9921
23,MADHYA PRADESH,2019,12,15433,384233,8389,18411,388214,18074,63672,788583,22697
24,GUJARAT,2019,12,117427,3386352,87582,120011,3788951,89852,120724,1502452,66766
25,DAMAN AND DIU,2019,12,1090,37175,1075,1674,191028,4669,2236,80568,4790
26,DADRA AND NAGAR HAVELI,2019,12,1312,59320,2070,1979,274682,9386,2842,117190,6930
27,MAHARASHTRA,2019,12,116701,4921122,117117,100388,3295539,104808,180119,2453531,98503
29,KARNATAKA,2019,12,84215,3180236,54581,43269,1421514,46220,97395,1563700,48497
30,GOA,2019,12,1511,72853,1005,1491,51354,3560,6777,102250,3445
31,LAKSHADWEEP,2019,12,0,0,0,0,0,0,44,374,11
32,KERALA,2019,12,33733,1165294,16854,13188,164329,7566,47895,695412,14679
33,TAMIL NADU,2019,12,73205,3237917,64066,63962,1723096,61929,100364,1569380,62516
34,PUDUCHERRY,2019,12,941,31414,988,1742,102197,3089,5199,96083,2557
35,ANDAMAN AND NICOBAR,2019,12,12,187,6,51,153,15,811,8964,238
36,TELANGANA,2019,12,32846,1396777,27249,28621,622112,24767,55128,918515,28664
37,ANDHRA PRADESH,2019,12,32633,1307841,22874,20066,406018,27075,66539,923351,28266
97,Other Territory,2019,12,5,129,69,25,1848,698,692,8749,1714
1,JAMMU AND KASHMIR,2019,11,2081,85241,1559,1685,29108,1903,17280,186698,4516
2,HIMACHAL PRADESH,2019,11,6959,234294,4381,4757,258209,10032,20624,282829,7815
3,PUNJAB,2019,11,57771,1406179,29029,47804,951549,22287,62490,761231,23093
4,CHANDIGARH,2019,11,2047,24218,350,4765,72348,1265,8059,110322,2074
5,UTTARAKHAND,2019,11,10506,517989,11633,7554,325003,14715,22966,416219,12790
6,HARYANA,2019,11,61441,2359428,40494,54039,2318797,55253,87938,1578581,49394
7,DELHI,2019,11,55438,779378,28765,116989,1601844,36144,109840,1447289,41090
8,RAJASTHAN,2019,11,64518,1464990,30000,45540,1198204,27271,89420,1076717,32048
9,UTTAR PRADESH,2019,11,104967,3043028,57907,70360,1236569,46617,167244,2052507,61893
10,BIHAR,2019,11,6312,358766,7048,5939,58467,2121,51617,525178,13404
11,SIKKIM,2019,11,113,3721,47,168,9287,2400,1552,28593,785
12,ARUNACHAL PRADESH,2019,11,121,2908,45,216,1574,76,2833,29628,484
13,NAGALAND,2019,11,82,886,39,230,2150,70,2452,23709,538
14,MANIPUR,2019,11,52,4339,63,104,508,22,2382,36521,606
15,MIZORAM,2019,11,21,730,14,73,379,26,1778,26973,443
16,TRIPURA,2019,11,927,24208,417,388,2495,245,3938,34062,710
17,MEGHALAYA,2019,11,291,11635,209,376,28162,484,3361,40164,754
18,ASSAM,2019,11,10460,383039,6737,9125,184310,5858,23858,262491,8423
19,WEST BENGAL,2019,11,37277,1283832,35188,36519,649465,26088,58052,915398,32678
20,JHARKHAND,2019,11,8002,350537,7579,6911,177745,9700,23455,312776,9806
21,ODISHA,2019,11,11649,653303,11624,5147,200532,18174,28344,341178,12811
22,CHHATTISGARH,2019,11,4833,181973,4657,7362,162008,10358,21316,313059,9089
23,MADHYA PRADESH,2019,11,15360,373800,8112,18262,377397,17114,65167,761316,22363
24,GUJARAT,2019,11,111212,3001222,75753,114907,3226326,84077,117439,1417453,67216
25,DAMAN AND DIU,2019,11,1059,35303,976,1624,182014,4193,2205,75581,3597
26,DADRA AND NAGAR HAVELI,2019,11,1256,54991,1893,1932,251663,8447,2848,109473,6416
27,MAHARASHTRA,2019,11,115330,4671961,109735,99230,3067827,95914,178404,2269764,93175
29,KARNATAKA,2019,11,83251,3000476,51429,42870,1303704,42672,95818,1458964,46053
30,GOA,2019,11,1506,69416,977,1553,51634,3253,7092,106279,3317
31,LAKSHADWEEP,2019,11,0,0,0,2,2,1,50,386,13
32,KERALA,2019,11,34027,1121476,15851,13553,162983,7157,48569,613631,14080
33,TAMIL NADU,2019,11,72885,3245499,62908,64216,1679001,58916,98143,1386182,55857
34,PUDUCHERRY,2019,11,897,29829,848,1781,96886,2739,5195,91583,2396
35,ANDAMAN AND NICOBAR,2019,11,9,239,8,55,227,27,945,9077,218
36,TELANGANA,2019,11,29406,1212885,22220,27186,553189,22220,53818,816233,26712
37,ANDHRA PRADESH,2019,11,30663,1194557,19978,19702,385216,25577,64356,805431,27209
97,Other Territory,2019,11,3,45,160,23,2360,1371,651,8469,1884
1,JAMMU AND KASHMIR,2019,10,2220,86320,1628,1685,28228,1929,16767,199361,4490
2,HIMACHAL PRADESH,2019,10,7128,241392,4430,4689,248559,9562,21675,289848,7995
3,PUNJAB,2019,10,56596,1446370,29466,47334,977679,22796,63677,835529,23413
4,CHANDIGARH,2019,10,2104,28641,433,4852,75677,1295,8157,120323,2306
5,UTTARAKHAND,2019,10,10368,478405,8695,7181,311591,14636,23406,396544,12470
6,HARYANA,2019,10,60979,2298665,39646,53492,2319117,54699,88618,1637896,50599
7,DELHI,2019,10,56194,835362,29824,118339,1629612,35065,111856,1629143,42553
8,RAJASTHAN,2019,10,65324,1515969,29853,45236,1248456,26562,92529,1109874,31150
9,UTTAR PRADESH,2019,10,105089,2997615,58570,69961,1238049,48790,166400,2263717,64114
10,BIHAR,2019,10,6200,371253,7516,5633,51695,1979,50824,597949,12897
11,SIKKIM,2019,10,99,2933,37,156,7362,1782,1510,24355,683
12,ARUNACHAL PRADESH,2019,10,112,2258,37,176,1307,65,2704,27145,411
13,NAGALAND,2019,10,74,786,33,227,1371,54,2298,21052,431
14,MANIPUR,2019,10,47,4315,69,85,357,12,2389,34943,563
15,MIZORAM,2019,10,22,866,13,52,243,13,1652,25856,383
16,TRIPURA,2019,10,834,17628,310,319,1867,171,3424,28248,627
17,MEGHALAYA,2019,10,270,9748,193,358,24099,404,3178,38359,761
18,ASSAM,2019,10,9833,349819,6274,8700,165515,5333,22801,241191,7720
19,WEST BENGAL,2019,10,33871,1068672,30088,33616,581558,23324,54231,863497,30320
20,JHARKHAND,2019,10,7457,308857,6765,6082,151482,8506,22932,289040,8988
21,ODISHA,2019,10,11456,634623,11763,4836,169816,16645,26411,311977,12186
22,CHHATTISGARH,2019,10,4766,173009,4377,6962,143201,9305,21481,299324,9280
23,MADHYA PRADESH,2019,10,14985,360023,7971,17721,350654,15274,64934,771601,21596
24,GUJARAT,2019,10,112180,2826782,68590,118995,4054270,84793,113006,1331331,60737
25,DAMAN AND DIU,2019,10,1091,32644,850,1663,172107,3922,2273,69981,4937
26,DADRA AND NAGAR HAVELI,2019,10,1274,52898,1803,1937,221424,7714,2874,103355,6164
27,MAHARASHTRA,2019,10,115418,4588478,105754,97972,3008823,91431,181986,2406137,92935
29,KARNATAKA,2019,10,80789,2902228,50152,41695,1319697,40569,93513,1485804,46206
30,GOA,2019,10,1393,63343,968,1457,49644,3175,7019,97037,2991
31,LAKSHADWEEP,2019,10,1,2,3,1,1,0,43,333,7
32,KERALA,2019,10,32406,1030350,14235,13120,160931,6413,45999,592849,13222
33,TAMIL NADU,2019,10,72376,3147361,61059,62832,1615517,57124,99840,1477047,54515
34,PUDUCHERRY,2019,10,904,30410,960,1749,92391,2590,5318,94731,2246
35,ANDAMAN AND NICOBAR,2019,10,9,158,13,60,338,32,912,8340,211
36,TELANGANA,2019,10,26927,1170102,21047,24223,514891,19913,52033,814673,25599
37,ANDHRA PRADESH,2019,10,29167,1154969,19169,18854,347189,24596,60924,687269,25564
97,Other Territory,2019,10,4,49,59,19,1958,1215,648,7720,1938
1,JAMMU AND KASHMIR,2019,9,2376,87262,1628,1592,29813,2220,14103,147501,4017
2,HIMACHAL PRADESH,2019,9,6897,245509,4528,4795,264720,10342,21068,294454,7891
3,PUNJAB,2019,9,53120,1318286,27812,46160,904146,22127,62485,790358,23590
4,CHANDIGARH,2019,9,2102,26762,401,4818,74773,1299,8003,113068,2178
5,UTTARAKHAND,2019,9,10390,483854,8137,7362,320297,14875,22881,397492,11509
6,HARYANA,2019,9,60744,2411934,42155,53556,2302566,55064,88430,1636296,55074
7,DELHI,2019,9,56874,829192,27051,118952,1703021,35842,112279,1569926,42790
8,RAJASTHAN,2019,9,62483,1379449,26484,45142,1220764,26162,87433,1034162,30245
9,UTTAR PRADESH,2019,9,101837,2817118,56639,69359,1257516,53871,161214,2043834,67348
10,BIHAR,2019,9,6128,326733,6714,6063,56545,1894,52542,690621,13305
11,SIKKIM,2019,9,108,3642,42,167,9420,2313,1574,28922,719
12,ARUNACHAL PRADESH,2019,9,112,2409,40,178,1365,68,2732,28301,418
13,NAGALAND,2019,9,81,782,30,228,1778,73,2395,22581,467
14,MANIPUR,2019,9,50,3788,64,104,471,15,2452,35954,592
15,MIZORAM,2019,9,19,793,11,79,364,58,1596,24720,363
16,TRIPURA,2019,9,850,21208,333,327,1819,159,4054,35364,713
17,MEGHALAYA,2019,9,284,9833,156,381,26646,455,3274,39404,716
18,ASSAM,2019,9,10468,376251,6713,8972,174905,5375,25433,286316,8565
19,WEST BENGAL,2019,9,37613,1260269,35404,37378,706644,26252,57909,1017471,35415
20,JHARKHAND,2019,9,7565,353268,7018,6076,173066,8991,24496,326353,9621
21,ODISHA,2019,9,11649,572438,11268,5016,168209,16980,27667,357267,12660
22,CHHATTISGARH,2019,9,4708,154507,4248,7041,149737,9054,21694,312450,9354
23,MADHYA PRADESH,2019,9,13923,285545,6227,17704,364977,15791,61848,687123,19815
24,GUJARAT,2019,9,109954,2830146,68653,117120,3803358,85175,116440,1370147,65480
25,DAMAN AND DIU,2019,9,1107,34513,950,1650,179591,4321,2277,72487,3485
26,DADRA AND NAGAR HAVELI,2019,9,1276,56105,1783,1926,240521,8478,2836,105659,6184
27,MAHARASHTRA,2019,9,114219,4432991,105185,98186,3153604,97101,177988,2340624,95144
29,KARNATAKA,2019,9,81226,2849655,50657,42269,1358923,42042,93432,1526226,48213
30,GOA,2019,9,1352,52361,849,1430,47286,3229,6444,92549,2803
31,LAKSHADWEEP,2019,9,1,1,0,1,1,0,38,260,11
32,KERALA,2019,9,31165,981452,14216,12733,153567,6138,45438,548032,13699
33,TAMIL NADU,2019,9,73859,3172739,63983,63334,1635102,59146,101953,1700303,58649
34,PUDUCHERRY,2019,9,917,31633,1822,1767,92830,2791,5318,101981,2612
35,ANDAMAN AND NICOBAR,2019,9,9,162,5,67,181,21,886,8664,183
36,TELANGANA,2019,9,27340,1102042,21609,24298,505046,20951,53871,896056,27649
37,ANDHRA PRADESH,2019,9,29091,1084817,19025,18806,343309,23675,60597,675768,25652
97,Other Territory,2019,9,4,53,19,19,2052,903,540,7743,1113
1,JAMMU AND KASHMIR,2019,8,3351,93174,1675,1480,27989,2267,12411,107628,3521
